model_nm|matrix_nm|params|scores
KMeans|dep_m_X_train_one_million|{'max_iter': 200, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5008500750698978, ""mean_test_precision_weighted"": 0.502472511629568, ""mean_test_recall_weighted"": 0.5008500750698978, ""mean_test_adjusted_rand_score"": 0.00015893674750450422, ""mean_test_adjusted_mutual_info_score"": 4.2223202069567695e-06}"
KMeans|dep_m_X_train_one_million|{'max_iter': 200, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.5008500750698978, ""mean_test_precision_weighted"": 0.502472511629568, ""mean_test_recall_weighted"": 0.5008500750698978, ""mean_test_adjusted_rand_score"": 0.00015893674750450422, ""mean_test_adjusted_mutual_info_score"": 4.2223202069567695e-06}"
KMeans|dep_m_X_train_one_million|{'max_iter': 200, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5008443602616869, ""mean_test_precision_weighted"": 0.5024558564807209, ""mean_test_recall_weighted"": 0.5008443602616869, ""mean_test_adjusted_rand_score"": 0.00015098893478507306, ""mean_test_adjusted_mutual_info_score"": 4.108218433337164e-06}"
KMeans|dep_m_X_train_one_million|{'max_iter': 300, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5008500750698978, ""mean_test_precision_weighted"": 0.502472511629568, ""mean_test_recall_weighted"": 0.5008500750698978, ""mean_test_adjusted_rand_score"": 0.00015893674750450422, ""mean_test_adjusted_mutual_info_score"": 4.2223202069567695e-06}"
KMeans|dep_m_X_train_one_million|{'max_iter': 300, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.5008500750698978, ""mean_test_precision_weighted"": 0.502472511629568, ""mean_test_recall_weighted"": 0.5008500750698978, ""mean_test_adjusted_rand_score"": 0.00015893674750450422, ""mean_test_adjusted_mutual_info_score"": 4.2223202069567695e-06}"
KMeans|dep_m_X_train_one_million|{'max_iter': 300, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5008443602616869, ""mean_test_precision_weighted"": 0.5024558564807209, ""mean_test_recall_weighted"": 0.5008443602616869, ""mean_test_adjusted_rand_score"": 0.00015098893478507306, ""mean_test_adjusted_mutual_info_score"": 4.108218433337164e-06}"
KMeans|dep_m_X_train_one_million|{'max_iter': 400, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5008500750698978, ""mean_test_precision_weighted"": 0.502472511629568, ""mean_test_recall_weighted"": 0.5008500750698978, ""mean_test_adjusted_rand_score"": 0.00015893674750450422, ""mean_test_adjusted_mutual_info_score"": 4.2223202069567695e-06}"
KMeans|dep_m_X_train_one_million|{'max_iter': 400, 'tol': 0.0001}|"{""mean_test_accuracy"": 0.5008500750698978, ""mean_test_precision_weighted"": 0.502472511629568, ""mean_test_recall_weighted"": 0.5008500750698978, ""mean_test_adjusted_rand_score"": 0.00015893674750450422, ""mean_test_adjusted_mutual_info_score"": 4.2223202069567695e-06}"
KMeans|dep_m_X_train_one_million|{'max_iter': 400, 'tol': 0.00011}|"{""mean_test_accuracy"": 0.5008443602616869, ""mean_test_precision_weighted"": 0.5024558564807209, ""mean_test_recall_weighted"": 0.5008443602616869, ""mean_test_adjusted_rand_score"": 0.00015098893478507306, ""mean_test_adjusted_mutual_info_score"": 4.108218433337164e-06}"
KMeans|w2v_m_X_train_one_million|{'max_iter': 200, 'tol': 9e-05}|"{""mean_test_accuracy"": 0.5017101535097054, ""mean_test_precision_weighted"": 0.5078248770293783, ""mean_test_recall_weighted"": 0.5017101535097054, ""mean_test_adjusted_rand_score"": 0.009399423603447019, ""mean_test_adjusted_mutual_info_score"": 0.0003222592982544601}"
